0,0,0
0,0,0
16,0,0
33,0,0
50,0,0
66,0,0
83,0,0
100,0,0
116,0,0
133,0,0
150,0,0
166,0,0
183,0,0
200,0,0
216,0,0
233,0,0
250,0,0
266,0,0
283,0,0
300,0,0
316,0,0
333,0,0
350,0,0
366,0,0
383,0,0
400,0,0
416,0,0
433,0,0
450,0,0
466,0,0
483,0,0
500,0,0
516,0,0
533,0,0
550,0,0
566,0,0
583,0,0
600,0,0
616,0,0
633,0,0
650,10,10
666,20,20
683,30,30
700,40,40
716,50,50
733,60,60
750,70,70
766,80,80
783,90,90
800,100,100
816,110,110
833,120,120
850,130,130
866,140,140
883,150,150
900,160,160
916,170,170
933,180,180
950,190,190
966,200,200
983,210,210
1000,220,220
1016,230,230
1033,240,240
1050,250,250
1066,260,260
1083,270,270
1100,280,280
1116,290,290
1133,300,300
1150,310,310
1166,320,320
1183,330,330
1200,340,340
1216,350,350
1233,360,360
1250,370,370
1266,380,380
1283,390,390
1300,400,400
1316,410,410
1333,420,420
1350,430,430
1366,440,440
1383,450,450
1400,460,460
1416,470,470
1433,480,480
1450,490,490
1466,500,500
1483,510,510
1500,520,520
1516,530,530
1533,540,540
1550,550,550
1566,560,560
1583,570,570
1600,580,580
1616,590,590
1633,600,600
1650,610,610
1666,620,620
1683,630,630
1700,640,640
1716,650,650
1733,660,660
1750,670,670
1766,680,680
1783,690,690
1800,700,700
1816,710,710
1833,720,720
1850,730,730
1866,740,740
1883,750,750
1900,760,760
1916,770,770
1933,780,780
1950,790,790
1966,800,800
1983,810,810
2000,820,820
2016,830,830
2033,840,840
2050,850,850
2066,850,850
2083,850,850
2100,850,850
2116,850,850
2133,850,850
2150,850,850
2166,850,850
2183,850,850
2200,850,850
2216,850,850
2233,850,850
2250,850,850
2266,850,850
2283,850,850
2300,850,850
2316,850,850
2333,850,850
2350,850,850
2366,850,850
2383,850,850
2400,850,850
2416,850,850
2433,850,850
2450,850,850
2466,850,850
2483,850,850
2500,855,845
2516,860,840
2533,865,835
2550,870,830
2566,875,825
2583,880,820
2600,885,815
2616,890,810
2633,895,805
2650,900,800
2666,905,795
2683,910,790
2700,915,785
2716,920,780
2733,925,775
2750,930,770
